feature,class_label
"[-333.10495    195.51797     38.71953     12.7513      34.226692
   27.338743    25.553864    25.744678    12.154673     7.0750294
   11.314388     4.9330187]",0
"[-328.00833    197.71053     45.03129     14.901843    34.064976
   27.831207    25.454607    25.782223    13.268281     8.245403
   11.387181     4.4491067]",0
"[-313.06714    205.17873     38.464046    13.15789     33.53154
   23.364824    23.399586    25.78957     13.207423    10.120119
   13.935443     6.0461874]",0
"[-332.7188     194.13843     47.071087    20.19406     35.934216
   28.800894    26.236279    22.849337     9.129836     4.7427363
    7.2059865    1.5347571]",0
"[-321.4163    203.32022    40.225548   18.054817   35.013546   28.85056
   28.32198    22.301418    7.657273    6.539236    8.762718    3.431133]",0
"[-269.45914    228.09735     19.33365     15.801742    32.55579
   17.78946     15.250519     2.8631904   -2.101574    -3.8083677
   -6.3081474   -3.2415543]",0
"[-2.3211678e+02  2.3535780e+02  5.9265494e+00  2.0290960e+01
  2.2098166e+01  1.3599978e+01  1.2946198e+01 -4.8596845e+00
 -1.1078423e+01 -1.5855379e+00 -9.4732170e+00  1.8367404e-01]",0
"[-269.07877    225.42786     10.938062    36.559784    24.037437
   11.700395    14.607157    -7.5895834   -7.219799    -1.8332278
   -7.889184    -2.624982 ]",0
"[-2.7049463e+02  2.1811551e+02  1.6798773e+01  2.5465734e+01
  3.1044369e+01  1.7793087e+01  1.5269503e+01  4.5507729e-02
 -4.8762064e+00  4.6825152e-02 -5.6690264e+00 -1.0063988e+00]",0
"[-270.7729      216.92726      14.57019      30.958368     30.430916
   11.167808     16.77872      -0.74887264   -6.4713693    -1.7344075
   -4.5448823    -1.5202142 ]",0
"[-273.31247    225.86293     13.298275    31.063484    26.972218
   12.579922    16.455956    -4.719748    -7.7720733   -1.919411
   -5.883014    -1.5653543]",0
"[-2.1341125e+02  2.4223633e+02 -2.7516489e+00  1.6538496e+01
  1.7454872e+01  9.5844707e+00  7.5316339e+00 -7.9729996e+00
 -1.1199359e+01  6.9990557e-01 -5.0265508e+00  1.2997739e-01]",0
"[-2.66789551e+02  2.23298645e+02  5.51131392e+00  2.92686863e+01
  2.98015728e+01  1.48557777e+01  2.00220737e+01 -1.21436596e-01
 -1.00134635e+00  3.96218991e+00 -5.37997532e+00 -1.60517856e-01]",0
"[-270.397      228.1546      10.410376    31.574554    28.539968
   13.546029    17.677866    -5.6350884   -5.192268     0.6216725
   -6.6641097   -1.1447315]",0
"[-2.8004333e+02  2.1421828e+02  1.9720730e+01  3.2540192e+01
  2.7570244e+01  1.4504996e+01  1.8532589e+01 -1.5999991e-02
 -4.5411806e+00 -8.5598296e-01 -3.2065940e+00 -1.7635845e+00]",0
"[-219.75986    240.95297     -5.1397266   13.946142    23.189316
    9.835993    11.827728    -5.2040653  -11.259349     0.6167037
   -6.2417073   -1.6419367]",0
"[-2.55984558e+02  2.25642456e+02  1.69114113e+00  2.97690105e+01
  2.49046211e+01  1.38575325e+01  2.25420074e+01 -7.33862340e-01
 -1.66319656e+00  5.44190025e+00 -5.27372599e+00  1.65829018e-01]",0
"[-269.44778    218.51752     15.744039    30.813034    27.5962
   14.745298    20.938255    -1.7227418   -3.8482811    3.1493535
   -4.706287    -2.1789727]",0
"[-240.27362    230.06805      2.4559584   30.467772    22.196768
   11.276444    16.511679    -8.230638    -9.330612     2.4246964
   -6.7929497   -1.4732546]",0
"[-259.52216    230.29324      4.3330755   33.544605    26.220627
   14.487541    19.053516    -3.6565344   -5.8089223    1.971819
   -9.4116      -7.2762427]",0
"[-2.8173590e+02  2.2460086e+02  1.2175567e+01  3.2677959e+01
  2.9862499e+01  1.4459624e+01  2.5024021e+01  4.6470803e-03
 -2.6521749e+00  4.7140946e+00 -6.5916209e+00 -4.1622038e+00]",0
"[-219.81615    237.26283     -7.1874356   22.266718    20.236559
   10.548929    11.785383    -4.9684634  -12.043572     1.1939296
   -7.946486    -5.0193133]",0
"[-200.76456    227.51903    -12.244732    34.742744    14.019501
   15.896779    10.524533     1.0962633  -12.213689     9.018278
   -6.3206363   -4.74623  ]",0
"[-206.81007    232.26381     -8.570782    20.971659    17.456888
   13.66524     14.315534    -1.1949751   -8.944265     4.778205
   -4.5348034   -2.3514261]",0
"[-238.8936     228.57954      2.660987    33.371002    20.256517
   13.903259    20.443115    -1.2824148   -7.3230705    3.4308202
   -4.478905    -1.7462498]",0
"[-249.63396    221.13449      9.011998    31.20808     23.040518
   14.194921    20.751722    -1.5616271   -4.357776     5.5319676
   -5.575312    -1.4734949]",0
"[-230.58617    236.6298       3.3921907   25.939022    19.523247
   12.055467    11.697941    -5.4923677   -9.892752     1.0971084
   -8.31013     -6.540233 ]",0
"[-260.38135    225.29564      8.324118    31.072506    26.134838
   14.31139     24.086617     1.2988687   -3.9392762    5.2105403
   -4.473111    -1.8542322]",0
"[-228.83762    239.45451      1.4671079   23.640934    22.516703
   13.72535     12.965595    -4.8350043  -10.910319     2.7660968
   -4.969665    -4.3407063]",0
"[-237.45784    226.51244      0.7878281   34.860767    20.591742
   16.11446     17.571812     1.1957198   -7.3886833    3.3737817
   -7.0523005   -4.944125 ]",0
"[-259.06403    226.24614      8.913469    31.818844    23.786757
   10.480426    21.020216    -1.78985     -4.796848     3.3424418
   -8.221241    -4.631131 ]",0
"[-227.43703    234.19365      4.1907663   24.9389      19.224562
   10.313332    12.392091    -9.2165     -11.397435     0.3958187
   -7.6170607   -4.5517654]",0
"[-176.36673    242.4602     -25.558594    15.612295    14.280039
   10.455659     2.50412     -4.2817235  -18.447996     3.2256086
   -6.840887    -3.0170503]",0
"[-196.47626    235.94089    -15.564913    25.7887      15.6458435
   18.402958    11.325947     4.020513   -11.967875    10.2429495
   -5.7119756   -3.0642126]",0
"[-240.9317     224.57173      2.473019    30.18828     22.374489
   17.147345    23.423397     4.457273    -2.5489       9.866333
   -1.9280493   -0.5879518]",0
"[-280.76498    221.04498     13.987057    34.93066     29.860004
   13.155592    22.221365     2.0376627   -1.0514826    6.4308057
   -5.551589    -2.6955187]",0
"[-276.56952    224.30789     22.02951     30.188131    27.60227
   14.439568    21.457172    -2.617943    -6.1250854    3.193178
   -4.093852    -2.8184507]",0
"[-294.19794     207.04265      29.089554     30.32306      30.481516
   17.56034      21.328184      1.5980239    -0.91267127    4.2438035
   -3.2906537    -1.6236943 ]",0
"[-243.63503    234.73952     10.124558    21.416796    21.07165
   10.53804     16.645536    -6.9636145  -10.518265     1.5202193
   -6.234287    -5.0469704]",0
"[-279.7597      171.40341     -15.250478     20.732416     11.512559
    6.042174     12.403002      5.384399     -7.690423     -5.506585
   -2.3945537    -0.40291917]",1
"[-144.33629    209.8152     -11.558897    40.402775   -13.099428
   23.96678     -3.5715332   -0.6490971   -4.2388024    9.309719
   10.389927    -1.6780698]",1
"[-128.29568    180.7761     -22.319199    43.162205   -16.92379
   32.745987     1.6516252    3.1798453   -9.034806     8.529173
    9.311392    -4.396417 ]",1
"[-138.48445     177.4158      -24.349459     46.059963    -15.482582
   43.394867      7.3293533    -0.45686913   -9.881402      8.343384
   16.828804    -12.439954  ]",1
"[-180.07828    207.58147      6.119853    25.7751     -17.05646
   24.80668      5.030113   -16.858139    -9.60199     10.940582
   14.998414    -7.7838807]",1
"[-169.15125    140.81612    -16.254232    55.794556   -15.469385
   20.491364    -8.666365     4.757881   -19.024        2.139266
   -4.8637576   -5.5754   ]",1
"[-115.96829    204.17143    -57.08325     46.91795    -13.693343
   19.108934     5.9151063    4.235017     8.374042     1.5001311
    3.9254284   -9.100923 ]",1
"[-98.51985   206.84366   -63.225365   60.32284    -9.07535    17.855612
   3.3241827  -0.7319452   7.644489   -8.321089    9.514761   -6.36909  ]",1
"[-104.10353    209.10912    -59.167072    49.94878    -13.331137
   19.542374     8.980666     5.820475    13.893064    -3.6478832
    5.1507225  -10.721961 ]",1
"[-144.0755      222.8965      -39.153694     44.898766     -0.437741
    4.194486     12.6184435    -7.491287      8.170894     -1.5952306
    5.414525     -0.77561784]",1
"[-53.660854   139.33038    -39.649376    36.712963   -18.081188
  26.237516    -4.957457    17.327322   -27.51067      2.1220505
   0.24271071   4.881371  ]",1
"[-48.64629   199.43904   -42.091843   30.31282   -16.191109    1.1964611
 -20.484959   -5.6991706  -9.301056  -14.001064   -7.7966046  -9.889549 ]",1
"[-172.4581     184.08846    -24.604431    51.397964     6.5839224
   24.38167     -0.6690264    1.2426943   -2.3378623   -4.07268
   12.850284    -3.894715 ]",1
"[-171.16118    162.42499    -41.493572    67.35472    -20.080603
   19.842121    -1.9261056    7.9004416   11.248278   -10.2059965
    2.478149   -16.47231  ]",1
"[-1.8424338e+02  1.4051930e+02  2.9134824e+00  6.2580830e+01
 -9.3071170e-02  3.2757713e+01 -1.3834608e+01  3.8560188e+00
 -1.5325812e+01  3.2374167e+00 -2.5378973e+01 -7.5693765e+00]",1
"[-101.48027    134.08897    -11.104332    45.572723   -18.095226
   32.084927   -22.709213    -0.6920529  -19.656727   -13.155049
  -17.91124     -1.9345009]",1
"[-193.42024    185.42108    -48.770256    60.80853     15.846164
    8.007665    -3.8582795   25.517845    -0.9361126    4.3897905
   13.600081     3.83592  ]",1
"[-137.53691    250.44598   -129.7477     -13.192699    29.640778
  -46.476574   -11.967068    14.700556   -39.674957    -2.6140308
   12.067615   -24.318256 ]",1
"[-1.25790955e+02  2.11803726e+02 -5.30249453e+00  2.86149406e+01
  2.27150097e+01  2.36459637e+01  1.17500658e+01 -6.08551168e+00
  2.56963134e-01  1.55108169e-01 -3.23398685e+00 -2.80146456e+00]",1
"[-39.54643    183.14265    -15.6812725   48.375103   -20.776274
   9.711039   -11.380168     1.7170227  -15.572063    -1.8873736
  -7.377689    -0.79453033]",1
"[ 45.615925  155.22331   -56.922516   49.35777   -20.42068    32.55659
  -6.267752   16.011204   -7.936762    3.3191519  -1.5219471   3.8186452]",1
"[-112.37005    219.17485      8.324569    40.39608      2.6812541
   15.812633     4.0871654   -1.769209     1.5833709    1.3713222
    7.604159    -3.8609042]",1
"[-205.36089    167.48866     15.809496    57.48039      4.5717044
   30.896431     2.0886822    6.9542813    7.400999     1.8655921
    1.2136294   -9.02785  ]",1
"[-8.1641712e+00  1.7327132e+02 -5.3879639e+01  3.8729225e+01
 -4.0360706e+01  1.8061371e+01 -2.5698896e+01  7.5935373e+00
 -2.8064840e+01 -2.0200457e-02 -1.2526793e+01 -4.8973308e+00]",1
"[-71.44658   120.81916   -50.321365   38.170605  -40.125847   26.21346
 -38.545444    4.6626244 -30.889568    8.384858  -21.564035    1.8823385]",1
"[-59.819767  114.6517    -53.743755   40.23097   -39.632656   27.280062
 -37.3671      5.6405683 -27.517206   11.014844  -21.069847    2.4518425]",1
"[-136.07928    149.9561     -47.791523    61.043053   -10.1661415
   38.533073    -8.860778    18.22707     -8.326163    13.6673565
   -9.358699     6.764114 ]",1
"[-46.647675  136.6011    -57.55986    37.699852  -29.511799   27.416142
 -25.634413   12.9415045 -23.224554    2.460483  -18.425718   -3.6886992]",1
"[-45.903553   129.05103    -64.91029     24.28765    -41.476135
  24.078505   -38.08725      5.5585265  -36.876225     1.3316597
 -21.03113      0.94348973]",1
"[-142.56331    234.42688    -14.220307    24.019638    -0.3231196
    7.327273     4.4103003  -21.148985    -1.694298     0.6707704
    4.0597854    2.357833 ]",1
"[-68.933784  128.04677   -40.964245   34.31994   -36.32032    23.54875
 -23.05839    15.679836  -29.876886    4.2246385 -15.384774    2.1714242]",1
"[-114.23305    174.158      -32.013515    45.980724    -9.034052
   20.605879   -12.99357      5.359214   -20.634546    -5.740978
  -13.595011    -7.4028506]",1
"[-141.19339    173.17801    -44.41587     70.76395    -10.485683
   10.566557    -1.1743742    5.955993   -22.87231     -5.6571918
   -9.637301    -2.2253616]",1
"[-188.54474    185.01813    -40.75215     57.61782     17.33829
    5.3981657   14.558131     2.036089   -10.554243    -4.5408463
   -6.3408866   -9.142283 ]",1
"[-279.63788    128.37148     -7.2356353   35.942467    -9.00946
   34.398308    -8.362397    28.54261     -7.5359573   16.87707
    3.339542     4.190488 ]",2
"[-58.309975  157.16791   -58.999954   22.045656  -21.71964    34.206062
 -12.766829    7.3490734 -15.867732    2.6899555  -8.176537  -10.393871 ]",2
"[  2.2234163 135.86046   -97.06278    27.57034   -33.87756    38.832436
 -23.068485   11.581     -13.542775    0.9983017  -5.959874   -5.221706 ]",2
"[-42.181553  134.82014   -81.6641     20.14647   -39.81927    38.398758
 -21.982567   14.141687  -11.432927   -1.2860879  -9.561838   -6.7995977]",2
